col1,name,SPECOBJID,PLATEID,MJD,FIBERID,BPTCLASS,RA_1,DEC_1,Z,Z_ERR,OH_P2P5,OH_P16,OH_P50,OH_P84,OH_P97P5,OH_ENTROPY,objID,ra_1a,dec_1a,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,uJAVA,gSDSS,rSDSS,iSDSS,zSDSS,J0378,J0395,J0410,J0430,J0515,J0660,J0861,Separation,u-g,g-r,r-i,i-z,uJAVA-J0378,gSDSS-J0378,rSDSS-J0378,iSDSS-J0378,zSDSS-J0378,J0378-J0395,J0395-J0410,J0410-J0430,J0430-J0515,J0515-J0660,J0660-J0861,uJAVA-J0395,gSDSS-J0395,rSDSS-J0395,iSDSS-J0395,zSDSS-J0395,uJAVA-J0410,gSDSS-J0410,rSDSS-J0410,iSDSS-J0410,zSDSS-J0410,uJAVA-J0430,gSDSS-J0430,rSDSS-J0430,iSDSS-J0430,zSDSS-J0430,uJAVA-J0515,gSDSS-J0515,rSDSS-J0515,iSDSS-J0515,zSDSS-J0515,uJAVA-J0660,gSDSS-J0660,rSDSS-J0660,iSDSS-J0660,zSDSS-J0660,uJAVA-J0861,gSDSS-J0861,rSDSS-J0861,iSDSS-J0861,zSDSS-J0861
85107,105364,7.78E+17,691,52199,366,1,10.827207,1.1954914,0.1744885,7.72E-06,8.696966,8.776724,8.824718,8.872398,8.932519,111.74823,1.24E+18,10.8271673,1.195535253,4858,301,6,427,GALAXY,21.20893,20.13517,19.65676,19.35211,19.33038,20.861,20.095,19.721,19.183,18.922,25.676,20.819,21.075,20.887,20.092,19.625,19.059,0.149734972,1.07376,0.47841,0.30465,0.02173,-4.815,-5.581,-5.955,-6.493,-6.754,4.857,-0.256,0.188,0.795,0.467,0.566,0.042,-0.724,-1.098,-1.636,-1.897,-0.214,-0.98,-1.354,-1.892,-2.153,-0.026,-0.792,-1.166,-1.704,-1.965,0.769,0.003,-0.538,-0.261,-1.17,1.236,0.47,0.096,-0.442,-0.703,1.802,1.036,0.662,0.124,-0.137
11393,31422,1.74E+18,1542,53734,468,1,5.110469,0.239459,0.15758023,1.36E-05,8.733109,8.804969,8.850075,8.9087,8.952938,118.52478,1.24E+18,5.11048086,0.239454849,2728,301,4,447,GALAXY,20.22917,19.2531,18.6884,18.29237,18.2195,20.874,19.507,19.144,18.771,18.764,25.195,19.629,19.472,19.569,19.286,19.218,18.881,0.058571942,0.97607,0.5647,0.39603,0.07287,-4.321,-5.688,-6.051,-6.424,-6.431,5.566,0.157,-0.097,0.283,0.068,0.337,1.245,-0.122,-0.485,-0.858,-0.865,1.402,0.035,-0.328,-0.701,-0.708,1.305,-0.062,-0.425,-0.798,-0.805,1.588,0.221,-0.373,-0.007,-0.522,1.656,0.289,-0.074,-0.447,-0.454,1.993,0.626,0.263,-0.11,-0.117
27433,47516,1.50E+18,1331,52766,564,1,231.55038,48.494274,0.0366621,1.08E-05,8.1980095,8.564187,8.673903,8.749602,8.836093,60.229874,1.24E+18,231.5503407,48.4942669,3187,301,6,33,GALAXY,19.24188,18.10576,17.69024,17.49809,17.36906,19.97,18.082,17.649,17.484,17.327,23.336,18.688,18.247,18.439,17.91,17.727,17.164,0.625151837,1.13612,0.41552,0.19215,0.12903,-3.366,-5.254,-5.687,-5.852,-6.009,4.648,0.441,-0.192,0.529,0.183,0.563,1.282,-0.606,-1.039,-1.204,-1.361,1.723,-0.165,-0.598,-0.763,-0.92,1.531,-0.357,-0.79,-0.955,-1.112,2.06,0.172,-0.165,-0.157,-0.583,2.243,0.355,-0.078,-0.243,-0.4,2.806,0.918,0.485,0.32,0.163
15612,35647,1.64E+18,1460,53138,15,1,199.60275,41.53392,0.09717647,1.05E-05,8.846756,8.9171295,8.970026,9.009426,9.068963,119.77809,1.24E+18,199.6027485,41.53391688,3893,301,3,248,GALAXY,20.22276,18.65678,17.77633,17.28253,16.88955,20.139,18.647,17.809,17.377,17.085,22.319,19.86,19.654,19.113,18.344,17.737,17.118,0.022016641,1.56598,0.88045,0.4938,0.39298,-2.18,-3.672,-4.51,-4.942,-5.234,2.459,0.206,0.541,0.769,0.607,0.619,0.279,-1.213,-2.051,-2.483,-2.775,0.485,-1.007,-1.845,-2.277,-2.569,1.026,-0.466,-1.304,-1.736,-2.028,1.795,0.303,-0.432,-0.292,-1.259,2.402,0.91,0.072,-0.36,-0.652,3.021,1.529,0.691,0.259,-0.033
14196,34227,1.68E+18,1491,52996,416,1,3.162647,1.217606,0.15331411,1.06E-05,7.944945,8.051622,8.278747,8.629552,8.715565,21.191551,1.24E+18,3.162638414,1.217579555,2728,301,6,434,GALAXY,20.27741,19.4551,19.05502,18.87864,18.82436,21.192,19.409,18.983,18.915,19.096,23.524,20.655,20.144,19.207,19.24,19.079,18.648,0.101252161,0.82231,0.40008,0.17638,0.05428,-2.332,-4.115,-4.541,-4.609,-4.428,2.869,0.511,0.937,-0.033,0.161,0.431,0.537,-1.246,-1.672,-1.74,-1.559,1.048,-0.735,-1.161,-1.229,-1.048,1.985,0.202,-0.224,-0.292,-0.111,1.952,0.169,-0.068,0.181,-0.144,2.113,0.33,-0.096,-0.164,0.017,2.544,0.761,0.335,0.267,0.448
70885,91119,9.38E+17,833,52314,297,1,139.67902,45.18322,0.15653677,1.61E-05,8.706631,8.7973385,8.858357,8.92662,8.979452,96.708534,1.24E+18,139.6790202,45.18327171,2740,301,4,237,GALAXY,19.67181,18.33882,17.49557,17.09082,16.82377,19.486,18.62,17.875,17.491,17.217,21.899,19.244,19.825,18.893,18.159,17.679,17.189,0.210757496,1.33299,0.84325,0.40475,0.26705,-2.413,-3.279,-4.024,-4.408,-4.682,2.655,-0.581,0.932,0.734,0.48,0.49,0.242,-0.624,-1.369,-1.753,-2.027,-0.339,-1.205,-1.95,-2.334,-2.608,0.593,-0.273,-1.018,-1.402,-1.676,1.327,0.461,-0.384,-0.274,-0.942,1.807,0.941,0.196,-0.188,-0.462,2.297,1.431,0.686,0.302,0.028
11411,31440,1.74E+18,1542,53734,384,1,4.485883,0.287522,0.15419938,8.74E-06,8.120088,8.446892,8.676727,8.777521,8.858611,36.67222,1.24E+18,4.485933891,0.287537236,2728,301,4,443,GALAXY,20.66351,19.56963,19.11432,18.85625,18.88562,21.834,19.545,19.373,19.121,19.156,23.503,22.971,19.602,19.566,19.257,19.074,19.062,0.511083397,1.09388,0.45531,0.25807,-0.02937,-1.669,-3.958,-4.13,-4.382,-4.347,0.532,3.369,0.036,0.309,0.183,0.012,-1.137,-3.426,-3.598,-3.85,-3.815,2.232,-0.057,-0.229,-0.481,-0.446,2.268,-0.021,-0.193,-0.445,-0.41,2.577,0.288,-0.252,0.035,-0.101,2.76,0.471,0.299,0.047,0.082,2.772,0.483,0.311,0.059,0.094
28016,48107,1.49E+18,1325,52762,334,1,211.60858,54.963978,0.07814934,1.01E-05,8.744023,8.851521,8.961568,9.088221,9.261167,70.821976,1.24E+18,211.6085737,54.96397711,3705,301,4,94,GALAXY,19.87145,18.11408,17.23964,16.72355,16.36322,19.974,18.206,17.444,16.963,16.744,21.228,19.316,18.817,18.488,17.946,17.384,16.856,0.285908352,1.75737,0.87444,0.51609,0.36033,-1.254,-3.022,-3.784,-4.265,-4.484,1.912,0.499,0.329,0.542,0.562,0.528,0.658,-1.11,-1.872,-2.353,-2.572,1.157,-0.611,-1.373,-1.854,-2.073,1.486,-0.282,-1.044,-1.525,-1.744,2.028,0.26,-0.481,-0.219,-1.202,2.59,0.822,0.06,-0.421,-0.64,3.118,1.35,0.588,0.107,-0.112
85423,105680,7.75E+17,688,52203,413,1,5.533436,1.0747532,0.27799833,1.40E-05,8.69795,8.805328,8.866984,8.932647,8.982006,92.214676,1.24E+18,5.533425074,1.074795855,2728,301,6,450,GALAXY,20.86291,20.52934,19.99335,19.76323,19.54129,20.958,20.189,19.663,19.465,19.668,23.552,20.079,20.315,21.059,20.058,20.205,19.226,0.209685728,0.33357,0.53599,0.23012,0.22194,-2.594,-3.363,-3.889,-4.087,-3.884,3.473,-0.236,-0.744,1.001,-0.147,0.979,0.879,0.11,-0.416,-0.614,-0.411,0.643,-0.126,-0.652,-0.85,-0.647,-0.101,-0.87,-1.396,-1.594,-1.391,0.9,0.131,-0.198,0.203,-0.39,0.753,-0.016,-0.542,-0.74,-0.537,1.732,0.963,0.437,0.239,0.442
85205,105462,7.77E+17,690,52261,442,1,9.666244,1.1644319,0.24143246,7.52E-06,8.7916565,8.822467,8.854327,8.90614,8.950712,149.5495,1.24E+18,9.666202919,1.164455008,2728,301,6,477,GALAXY,20.50776,19.80965,19.31534,19.09912,19.04542,20.476,19.986,19.611,19.21,19.305,23.26,20.116,21.697,20.122,20.185,19.233,19.14,0.199385977,0.69811,0.49431,0.21622,0.0537,-2.784,-3.274,-3.649,-4.05,-3.955,3.144,-1.581,1.575,-0.063,0.952,0.093,0.36,-0.13,-0.505,-0.906,-0.811,-1.221,-1.711,-2.086,-2.487,-2.392,0.354,-0.136,-0.511,-0.912,-0.817,0.291,-0.199,-0.401,0.095,-0.88,1.243,0.753,0.378,-0.023,0.072,1.336,0.846,0.471,0.07,0.165
